quad_index,area,aspect_ratio,color_variance,convexity,edge_density,equivalent_diameter,extent,mean_intensity,orientation,relative_area,saturation_average,solidity
0,2589.0,0.9821428571428571,36.68512455699427,1.0,0.10032467532467533,57.414433562644646,0.8405844155844155,185.33036046079525,-4.4846062660217285,0.0028092447916666665,23.800324675324674,1.0
1,7681.5,1.0638297872340425,44.67334017475992,1.0,0.09978723404255319,98.89585210150703,0.8171808510638298,168.12409316533027,-4.497151851654053,0.0083349609375,30.223297872340424,1.0
2,2832.0,1.0,36.15176396683865,1.0,0.10083309393852341,60.04843370721655,0.8135593220338984,182.36134739707384,-84.70991516113281,0.0030729166666666665,27.663602413099685,1.0
3,4659.5,1.0142857142857142,29.897165045112445,1.0,0.11810865191146881,77.02376035155315,0.9375251509054326,184.0364811340421,-0.8303154110908508,0.005055881076388889,17.759154929577466,1.0
4,3054.0,1.05,37.69231714150093,1.0,0.09603174603174604,62.35762639502234,0.807936507936508,182.01169036334912,-5.102165222167969,0.0033138020833333335,25.117460317460317,1.0
5,7615.0,0.956989247311828,24.015456546065337,1.0,0.11840038661350731,98.46684281095979,0.9200193306753655,184.98138878192785,-89.3634033203125,0.008262803819444444,13.713906004591035,1.0
6,2935.0,1.0517241379310345,38.402501752319786,1.0,0.10429621254946297,61.130663858637284,0.8295647258338044,178.1592775041051,-4.159642219543457,0.0031846788194444444,27.31882419446015,1.0
7,3137.0,1.0526315789473684,36.15973994124649,1.0,0.08976608187134504,63.199307368310656,0.9172514619883041,181.67056290372193,-2.009553909301758,0.003403862847222222,22.814327485380115,1.0
8,8051.0,1.0326086956521738,26.56274134646551,1.0,0.1651029748283753,101.2464891967262,0.9211670480549199,177.18333130846798,-0.6510603427886963,0.008735894097222223,27.719450800915332,1.0
9,2975.5,1.0333333333333334,38.58389601386375,1.0,0.1010752688172043,61.550989150130455,0.7998655913978494,185.10661049902788,-5.290081024169922,0.0032286241319444443,26.56451612903226,1.0
10,7661.5,0.9782608695652174,21.75805489404914,1.0,0.06268115942028986,98.76702269476614,0.9253019323671497,192.41617759632558,-88.04749298095703,0.008313259548611111,20.29057971014493,1.0
11,8238.0,1.0,32.58644825859535,1.0,0.1247170665459484,102.41556214525345,0.9323223177908556,179.69397933737088,-1.9305874109268188,0.008938802083333334,25.544477138976912,1.0
12,3362.5,0.9852941176470589,38.949824188618315,1.0,0.1033801580333626,65.43139895472193,0.7380377524143986,177.65411155836688,-8.820379257202148,0.0036485460069444445,28.78731343283582,1.0
13,7625.0,1.021978021978022,33.60128674385151,1.0,0.1382488479262673,98.53147481188748,0.9009807396904171,180.47493911037046,-3.251945734024048,0.008273654513888888,18.88384733546024,1.0
14,3511.0,1.0161290322580645,38.688677715426486,1.0,0.10240655401945725,66.8606314774633,0.898873527905786,177.21757091710273,-0.9548413157463074,0.0038096788194444445,25.11520737327189,1.0
15,6383.5,1.069767441860465,42.497212855755926,1.0,0.20487866531850354,90.15389416889828,0.8068124368048534,104.52835090936878,-6.115503311157227,0.006926540798611111,32.317492416582404,1.0
16,3644.5,1.0144927536231885,39.84266098418005,1.0,0.11159420289855072,68.11990546666445,0.7545548654244306,177.7504650544778,-81.17961883544922,0.0039545355902777775,28.8944099378882,1.0
17,8537.0,0.98989898989899,35.524371346873586,1.0,0.12234590806019377,104.2575944159661,0.8799216656359513,172.43132309103416,-86.98721313476562,0.009263237847222222,16.456091527520098,1.0
18,3209.5,1.0,40.35438337736985,1.0,0.10986328125,63.925443438645814,0.7835693359375,183.36503159795367,-7.853312969207764,0.0034825303819444446,28.65966796875,1.0
19,3807.0,1.0149253731343284,41.67925150110205,1.0,0.11742756804214223,69.62200045105544,0.8356014047410009,180.90363590134754,-85.38935089111328,0.004130859375,25.7756804214223,1.0
20,8598.0,0.9690721649484536,28.45778634340058,1.0,0.09508664180741391,104.62941080610618,0.94296994955034,180.613160291439,-89.39049530029297,0.009329427083333333,21.381662645316954,1.0
21,61.5,0.4444444444444444,21.38412017461749,1.0,0.2006172839506173,8.848967849484623,0.18981481481481483,32.300000000000004,-67.06790161132812,6.673177083333333e-05,38.54938271604938,1.0
